Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
baseline קפוא: commit 39692df
Loading weights:   0%|          | 0/199 [00:00<?, ?it/s]Loading weights: 100%|██████████| 199/199 [00:00<00:00, 2049.83it/s]
  mh1 run 1/5 (5.9s): rag=bad/answered | agent=skipped
  ua3 run 3/5 (8.5s): rag=good/refused | agent=skipped
  ua3 run 4/5 (8.2s): rag=good/refused | agent=skipped
  ua3 run 5/5 (8.4s): rag=good/refused | agent=skipped
  tf1 run 1/5 (0.0s): rag=n/a/n/a | agent=skipped
  tf1 run 2/5 (0.0s): rag=n/a/n/a | agent=skipped
  tf1 run 3/5 (0.0s): rag=n/a/n/a | agent=skipped
  tf1 run 4/5 (0.0s): rag=n/a/n/a | agent=skipped
  tf1 run 5/5 (0.0s): rag=n/a/n/a | agent=skipped
  tf2 run 1/5 (0.0s): rag=n/a/n/a | agent=skipped
  tf2 run 2/5 (0.0s): rag=n/a/n/a | agent=skipped
  tf2 run 3/5 (0.0s): rag=n/a/n/a | agent=skipped
  tf2 run 4/5 (0.0s): rag=n/a/n/a | agent=skipped
  tf2 run 5/5 (0.0s): rag=n/a/n/a | agent=skipped
  s1 run 1/5 (8.7s): rag=bad/refused | agent=skipped
  s1 run 2/5 (8.3s): rag=bad/refused | agent=skipped
  s1 run 3/5 (10.4s): rag=bad/refused | agent=skipped
  s1 run 4/5 (6.5s): rag=bad/refused | agent=skipped
  s1 run 5/5 (8.4s): rag=bad/refused | agent=skipped
  s2 run 1/5 (8.2s): rag=good/answered | agent=skipped
  s2 run 2/5 (8.4s): rag=good/answered | agent=skipped
  s2 run 3/5 (8.4s): rag=good/answered | agent=skipped
  s2 run 4/5 (8.5s): rag=good/answered | agent=skipped
  s2 run 5/5 (8.3s): rag=good/answered | agent=skipped
  s3 run 1/5 (8.8s): rag=good/answered | agent=skipped
  s3 run 2/5 (8.1s): rag=good/answered | agent=skipped
  s3 run 3/5 (8.5s): rag=good/answered | agent=skipped
  s3 run 4/5 (8.2s): rag=good/answered | agent=skipped
  s3 run 5/5 (8.5s): rag=good/answered | agent=skipped
  s4 run 1/5 (8.3s): rag=bad/refused | agent=skipped
  s4 run 2/5 (8.8s): rag=bad/refused | agent=skipped
  s4 run 3/5 (8.1s): rag=bad/refused | agent=skipped
  s4 run 4/5 (8.7s): rag=bad/refused | agent=skipped
  s4 run 5/5 (8.8s): rag=bad/refused | agent=skipped
  s5 run 1/5 (7.6s): rag=good/answered | agent=skipped
  s5 run 2/5 (8.5s): rag=good/answered | agent=skipped
  s5 run 3/5 (8.4s): rag=good/answered | agent=skipped
  s5 run 4/5 (9.3s): rag=good/answered | agent=skipped
  s5 run 5/5 (7.6s): rag=good/answered | agent=skipped
  s6 run 1/5 (21.9s): rag=bad/answered | agent=skipped
  s6 run 2/5 (7.0s): rag=bad/answered | agent=skipped
  s6 run 3/5 (8.5s): rag=bad/answered | agent=skipped
  s6 run 4/5 (8.3s): rag=bad/answered | agent=skipped
  s6 run 5/5 (8.4s): rag=bad/answered | agent=skipped
  s7 run 1/5 (8.2s): rag=good/answered | agent=skipped
  s7 run 2/5 (8.5s): rag=good/answered | agent=skipped
  s7 run 3/5 (8.3s): rag=good/answered | agent=skipped
  s7 run 4/5 (8.6s): rag=good/answered | agent=skipped
  s7 run 5/5 (8.4s): rag=good/answered | agent=skipped
  s8 run 1/5 (8.3s): rag=good/answered | agent=skipped
  s8 run 2/5 (8.3s): rag=good/answered | agent=skipped
  s8 run 3/5 (8.9s): rag=good/answered | agent=skipped
  s8 run 4/5 (8.0s): rag=good/answered | agent=skipped
  s8 run 5/5 (8.5s): rag=good/answered | agent=skipped
  s9 run 1/5 (8.6s): rag=bad/refused | agent=skipped
  s9 run 2/5 (8.2s): rag=bad/refused | agent=skipped
  s9 run 3/5 (8.6s): rag=bad/refused | agent=skipped
  s9 run 4/5 (8.7s): rag=bad/refused | agent=skipped
  s9 run 5/5 (8.0s): rag=bad/refused | agent=skipped
  s10 run 1/5 (8.5s): rag=bad/refused | agent=skipped
  s10 run 2/5 (8.4s): rag=bad/refused | agent=skipped
  s10 run 3/5 (8.3s): rag=bad/refused | agent=skipped
  s10 run 4/5 (8.5s): rag=bad/refused | agent=skipped
  s10 run 5/5 (8.3s): rag=bad/refused | agent=skipped

120 שורות נכתבו ל-C:\Repo\Taxes\tax-copilot\assignment4\assignment_04.xlsx
