baseline קפוא: commit 39692df
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/199 [00:00<?, ?it/s]Loading weights:  74%|███████▍  | 148/199 [00:00<00:00, 1473.80it/s]Loading weights: 100%|██████████| 199/199 [00:00<00:00, 1454.22it/s]
  (167 שורות כבר ב-checkpoint, מדלג עליהן)
  mh1 run 1/5 (0.0s): rag=skipped | agent=good/answered
  tf2 run 1/5 (24.2s): rag=skipped | agent=good/refused
  tf2 run 2/5 (17.9s): rag=skipped | agent=good/refused
  tf2 run 3/5 (35.3s): rag=skipped | agent=good/refused
  tf2 run 4/5 (53.9s): rag=skipped | agent=good/refused
  tf2 run 5/5 (21.8s): rag=skipped | agent=good/refused
  s1 run 1/5 (15.9s): rag=skipped | agent=good/answered
  s1 run 2/5 (28.6s): rag=skipped | agent=good/answered
  s1 run 3/5 (30.2s): rag=skipped | agent=good/answered
  s1 run 4/5 (16.0s): rag=skipped | agent=good/answered
  s1 run 5/5 (22.2s): rag=skipped | agent=good/answered
  s2 run 1/5 (15.1s): rag=skipped | agent=good/answered
  s2 run 2/5 (18.3s): rag=skipped | agent=good/answered
  s2 run 3/5 (16.6s): rag=skipped | agent=good/answered
  s2 run 4/5 (17.5s): rag=skipped | agent=good/answered
  s2 run 5/5 (16.1s): rag=skipped | agent=good/answered
  s3 run 1/5 (16.4s): rag=skipped | agent=good/answered
  s3 run 2/5 (17.1s): rag=skipped | agent=good/answered
  s3 run 3/5 (15.8s): rag=skipped | agent=good/answered
  s3 run 4/5 (18.2s): rag=skipped | agent=good/answered
  s3 run 5/5 (17.9s): rag=skipped | agent=good/answered
  s4 run 1/5 (15.7s): rag=skipped | agent=good/answered
  s4 run 2/5 (17.1s): rag=skipped | agent=good/answered
  s4 run 3/5 (16.1s): rag=skipped | agent=good/answered
  s4 run 4/5 (17.3s): rag=skipped | agent=good/answered
  s4 run 5/5 (66.9s): rag=skipped | agent=good/answered
  s5 run 1/5 (15.8s): rag=skipped | agent=good/answered
  s5 run 2/5 (15.9s): rag=skipped | agent=good/answered
  s5 run 3/5 (16.7s): rag=skipped | agent=good/answered
  s5 run 4/5 (17.2s): rag=skipped | agent=good/answered
  s5 run 5/5 (17.3s): rag=skipped | agent=good/answered
  s6 run 1/5 (20.8s): rag=skipped | agent=bad/refused
  s6 run 2/5 (21.2s): rag=skipped | agent=good/answered
  s6 run 3/5 (28.1s): rag=skipped | agent=bad/refused
  s6 run 4/5 (18.0s): rag=skipped | agent=bad/cap_breached
  s6 run 5/5 (21.5s): rag=skipped | agent=bad/refused
  s7 run 1/5 (17.7s): rag=skipped | agent=good/answered
  s7 run 2/5 (17.8s): rag=skipped | agent=good/answered
  s7 run 3/5 (15.1s): rag=skipped | agent=good/answered
  s7 run 4/5 (16.4s): rag=skipped | agent=good/answered
  s7 run 5/5 (16.8s): rag=skipped | agent=good/answered
  s8 run 1/5 (17.2s): rag=skipped | agent=good/answered
  s8 run 2/5 (16.5s): rag=skipped | agent=good/answered
  s8 run 3/5 (16.7s): rag=skipped | agent=good/answered
  s8 run 4/5 (16.8s): rag=skipped | agent=good/answered
  s8 run 5/5 (17.1s): rag=skipped | agent=good/answered
  s9 run 1/5 (66.2s): rag=skipped | agent=good/answered
  s9 run 2/5 (16.6s): rag=skipped | agent=good/answered
  s9 run 3/5 (18.5s): rag=skipped | agent=good/answered
  s9 run 4/5 (16.7s): rag=skipped | agent=good/answered
  s9 run 5/5 (17.1s): rag=skipped | agent=good/answered
  s10 run 1/5 (22.1s): rag=skipped | agent=good/answered
  s10 run 2/5 (13.8s): rag=skipped | agent=good/answered
  s10 run 3/5 (53.2s): rag=skipped | agent=good/answered
  s10 run 4/5 (19.6s): rag=skipped | agent=good/answered
  s10 run 5/5 (14.1s): rag=skipped | agent=good/answered

240 שורות נכתבו ל-C:\Repo\Taxes\tax-copilot\assignment4\assignment_04.xlsx
